RTO4_ID,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat
13732,4.814670324,3.20851103,4.060192402,0.930126033,2.363987952,0.788510333,1.387877894,0.77284814,0.965610765,1.061741876,1.095721741
13734,0,0,0.203508386,0,0,0,0,0,0,0,0
13735,0.762362106,0.722079474,0,0,0,0,0.189187349,0.579483837,0.770361126,0,0
13736,12.87310296,13.33794663,13.39099342,8.390221933,12.06368411,5.860359477,9.659556794,5.802372505,8.227176992,16.00335589,15.92362614
13737,4.810645537,6.004382842,6.500265759,3.721337152,4.949417814,4.882935643,4.890517288,4.828298201,5.157552093,5.308191401,5.884098292
13738,13.00952783,11.81415378,9.544138625,13.188085,11.78247986,11.73476939,9.410296126,11.7865521,10.92757285,11.32497977,10.8788801
13740,10.37973758,9.796361087,11.40283939,13.77778524,11.63215852,11.53984911,10.01964278,9.455022358,10.33469899,11.30691988,13.96383104
13743,0,0,0,0,0,0.199906468,0,0,0,0,0
13745,0,0,0.206941496,0.18083012,0.179977976,0.400832093,0,0.193364302,0.189807699,0.212277485,0
13747,3.090057124,3.051752627,3.663587464,2.224913744,2.933033208,2.54701088,3.137130718,3.675720997,2.689186538,0.418440918,0.647394794
13748,1.894278917,3.446990091,2.023594499,1.681109208,2.562137894,2.159259938,1.566776903,1.932459897,1.729473319,2.996776453,2.396175352
13755,0,0,0,0,0,0,0,0,0.189477632,0,0
13756,7.278206386,5.602539555,7.316986448,6.874130704,5.846454146,8.01613146,6.305950619,6.18460539,6.509703293,5.352411943,6.989059121
13757,20.65022248,14.8328834,19.10377758,13.7718809,12.61554429,12.96296621,12.44079667,13.33131594,10.35575949,11.97358408,16.77570347
13758,8.845941415,7.562319595,9.15011319,8.726772748,9.12824096,7.034218806,9.645385997,7.150205401,5.574561131,7.410141407,11.54588008
13759,0.965622292,0.531086993,0.809096337,0.189768808,0.369050558,0,0,0,0,0.429906557,0
13760,15.76839894,16.61181817,14.23951447,15.42367513,15.33846959,16.04812212,13.64996826,16.04403225,15.52367343,15.37681346,14.21427537
13762,0.579958827,0,0,0,0,0,0,0,0,0,0
13764,0.390319996,0.166666667,0,0.189768808,0.191623994,0.789056262,0.993717754,0.579866597,0.19524964,0.430130815,0.211526017
13765,0,0,0,0.185548766,0,0,0,0,0,0,0
13766,3.814263162,6.617071606,5.497091953,6.882582553,7.977966165,6.0516435,7.476512016,6.95187506,7.456138323,2.348129998,3.02703728
13767,0.747497048,0.185279653,1.418541326,0,0,12.14081706,2.763640358,2.326065602,0,0.211646862,0
13769,0.973650021,1.624192616,0.402401602,1.495560441,0.910531835,0.781599811,0.6150562,0,0,0.64046819,1.086626828
13770,4.421234495,4.336317574,2.639222856,2.974525427,3.098674991,2.746462567,2.963886164,2.122764858,2.114075052,1.920245504,3.053766165
13771,39.33549751,24.17342093,37.40468106,22.50972677,20.75074232,35.10322965,32.08816621,30.32668489,27.76203549,35.41884411,26.55155415
13773,3.828894699,3.589914649,2.237523678,4.286879312,2.734603035,2.545398698,2.73566591,2.711844494,2.487376525,0.644155839,2.594890332
13774,1.911956516,3.406731532,3.252859087,4.286323392,5.463223337,4.885951836,4.721039544,5.029351605,5.358965608,2.132747247,3.250344753
13775,0.954760176,2.724796116,0.819720912,6.684957684,2.942110569,1.178185609,1.175906818,2.118832729,2.097089096,0.428597071,0.64969556
13778,4.617657353,5.502757604,4.064653181,4.099079753,4.351709918,3.506156428,4.34472672,4.055974933,3.636296417,5.145093816,3.287551
13779,16.14947138,12.30649295,20.54342262,11.34561617,9.690881787,17.79137625,14.14424356,17.01522527,15.48524766,12.61924197,12.84077523
13785,0,0,0,0,0.179977976,0,0,0,0,0,0
13786,0,0,0.203084457,0,0,0,0,0,0,0.209220459,0
13788,0,0.195187917,0,0.18083012,0,0,0.593616302,0.190304961,0.391346753,0,0
13789,0.766131527,1.641091059,1.231831926,1.118236793,1.646485991,1.948742582,1.971225383,2.314830529,2.109606124,1.483015563,0.874457005
13790,4.024360676,3.785102566,2.858784261,3.160043133,3.638889151,2.134860895,1.191672734,1.927856912,0.959713219,3.633252809,3.030753404
13793,0.377257298,0,0,0.18083012,0.173732258,0,0,0,0,0,0
13794,2.322196324,1.5864998,1.217550886,1.873431286,1.664377727,1.180434868,0.599863996,1.741239066,1.357349387,0.851628759,1.293626554
13796,0,0,0,0,0,0.189768808,0,0.193992076,0,0,0.211140241
13797,38.79385836,30.90166537,34.02271725,34.83010925,33.28936624,18.19475131,23.44332504,8.116479631,10.15107236,13.25071917,13.26128748
13798,0.767955732,0.531201493,1.021132074,0.751857907,0.930129562,1.174787337,0.188436758,1.34985493,0.189081134,0.640874556,0.66396057
13799,1.926304547,2.510258514,1.022601586,1.306327063,1.477593571,0.979370999,0.769244783,0.7732309,0.574138473,2.347499374,3.036132193
13802,2.095970265,1.615487893,2.234625346,2.797180625,3.087447969,0.986419766,0.761495908,0.193364302,0.189477632,3.817029261,3.911200094
13803,0,0,0,0.185548766,0,0,0,0,0,0,0
13804,0,0,0,0,0,0,0,0,0,0.209220459,0
13805,0.201691347,0,0,0,0,0,0,0.193992076,0,0,0
13806,0,0,0.598820414,0,0.179977976,0,0,0.192981542,0.189477632,0,0.211526017
13810,0,0,0,0,0,0,0,0,0,0.209220459,0.224375669
13811,0.572489755,1.262607888,0,0.738200573,1.247932103,1.161683356,1.576314652,1.734492609,2.871978258,1.076713057,0.864976315
13812,0.18060092,0,0,0,0,0.190314737,0,0.385874522,0.19524964,0,0
13813,9.63956896,15.63928574,7.316553562,15.62044488,17.20483296,12.55326076,15.95493956,15.05410236,17.61728169,24.76295939,22.19049903
13814,2.290622219,3.411011818,2.643079895,1.855257433,3.831073605,2.145421912,2.189907888,2.51352122,3.060049312,2.13517365,3.468890037
13816,0.188628649,1.451813122,1.019894872,0.560786689,1.641244337,0.76581462,1.3816302,0.193992076,1.722186381,1.063457728,0
13820,0.778184044,1.096522564,1.017698964,2.046952664,2.180174202,4.109567605,2.159623088,4.058893166,1.919551977,3.429740036,1.309934301
13821,0,0,0,0,0,0.195962267,0,0.192981542,0.384727272,0,0
13824,2.093514316,4.481608525,0.81452478,5.004968051,4.01701707,4.670733404,4.740713951,5.017933307,5.936126618,2.344169851,3.054080418
13826,0,0.166666667,0.203084457,0.366378886,0.19289111,0.190314737,0,0,0,0,0.65917625
13827,0.577758244,0.169232409,0.203084457,0,0,0,0,0.383669263,0,0,0
13828,0.195465977,0.896088662,0.204745588,0.183790577,0.180258207,0.594797325,0.404428953,0.38281518,0.384727272,0.639127016,0
13832,0.551399327,3.260744738,0.204847479,3.331139484,3.641720793,3.12747412,3.142321438,3.673316203,4.40042993,1.061741876,1.536722
13833,0,0,0,0,0,0,0,0,0.19524964,0,0
13834,2.511436931,2.670621062,1.223885536,0.936908069,1.082996976,1.182927962,2.139836053,3.090328476,4.411384873,0.641777676,2.821881019
13835,0,0,0,0,0.179977976,0,0,0,0,0,0
13838,0.583330025,0.335899076,0.604248857,0.556566648,0,0.979509243,0.377624107,0.577278578,1.718259371,0,0
13840,2.291436242,1.454918411,2.639120964,2.602772822,0.88882157,1.552377788,0.770727274,1.549556154,1.142359519,0.220910356,0
13841,1.935901115,2.295990768,1.427724917,3.35829485,3.112433545,2.557075838,1.182154512,2.123174392,2.114200591,1.503562588,1.303531634
13842,2.321798101,1.630642142,4.278884827,2.417246391,2.555750709,3.919302739,1.583312937,3.284991409,1.344891467,5.136767157,4.783994434
13843,0.18060092,0.744887897,0.818381819,0.751857907,1.076471027,1.369046275,0.993717754,0.776352029,1.338727591,1.076082433,0.876757771
13844,3.842117831,4.416053997,4.889575974,3.893208093,2.735007488,7.624012961,6.896415528,7.529537366,8.433660461,4.92683412,5.218795015
13845,1.16227867,2.199536452,1.214931048,4.279641497,2.920244296,2.352499719,1.371648243,2.519046177,2.303156187,0.432557217,0.888297624
13846,0,0.195187917,0,0,0,0,0.387142329,0,0.379014372,0,0
13847,0.771958674,0,1.016037833,0,0,0.197909432,0,0,0,4.273190529,4.364697138
13849,0,0,0,0,0,0,0,0,0,0,0.211140241
13851,0,0,0,0,0,0,0,0,0,0,0.211140241
13852,0,0.354512062,0,0.746335456,0.732118384,0.583640508,0.755248214,0.392028219,0.189081134,0,0
13853,0.382292267,0.179255173,0.402401602,0.929670254,0.360236183,0.197909432,0,0,0,0.844791667,0.431761171
13854,0,0.34592184,0,0,0,0,0,0,0,0,0
13858,0,0,0,0,0,0,0.198705571,0,0.189477632,0,0
13859,0,5.192814036,0,0,2.356194886,0,6.691788173,0,6.312694968,0,0
13860,7.641125298,9.848786455,8.533309089,10.21982275,10.6790371,5.883440044,9.028847306,6.769657268,7.082767948,3.632622186,3.28451159
13862,1.330827073,1.470114456,1.825032278,0.927165575,1.831584036,1.961896434,2.165603453,1.931832124,1.913383471,0.850773878,1.093382361
13863,2.131367092,1.617701293,1.830228411,0.746335456,0.37160197,2.159805867,1.191672734,1.544658971,1.155539373,0.64046819,0
13864,0.386295209,1.451813122,1.425732792,1.29604914,1.283839796,0.195962267,0.987006325,1.542453712,1.533376206,0.211646862,0.211140241
13865,0,0.169232409,0,0,0.366623368,0,0,0,0,0,0
13867,0,0,0,0,0,0,0,0,0,0.212277485,0
13868,0,0,0,0,0.191623994,0,0,0,0,0,0
13869,0,0,0,0,0,0.190314737,0,0,0,0,0.220620931
13871,0.566896129,0.731987738,0.197656014,1.120322518,1.281146918,0.77595228,0.992967163,1.546523587,0.960043285,0.219600869,1.323813534
13872,11.07187228,9.032860203,10.57022271,6.495972191,6.170643806,7.644834211,8.229814004,6.377315144,7.07006358,7.911878527,7.840541979
13875,8.035050013,6.867287975,6.730875669,7.988523583,7.123485127,8.820476855,4.712082014,4.64338852,0.196097113,2.367319297,0.224375669
13879,0,0,0.204847479,0,0,0,0,0,0,0,0
13880,12.04461334,9.896752023,12.22045412,11.36431968,9.282970307,10.79955243,9.247359439,11.77679274,9.742473319,10.468712,9.816721133
13881,0,0,0,0,0,0,0,0.193992076,0,0,0
13882,11.34861227,8.059049168,7.703213568,6.894131827,6.398034093,8.018168308,7.847868903,7.533005239,7.081723874,5.998589846,7.821194823
13883,3.458137923,3.597339657,3.245030952,2.426988884,1.64407598,2.740269107,1.779924088,1.34635104,2.291153872,2.769934153,3.287583909
13884,0,0,0,0,0,0,0,0,0,0,0.217934388
13887,0,0,0,0,0,0.199906468,0,0,0,0,0
13892,0,0.169232409,0,0,0,0,0,0,0,0.219600869,0
13893,0,0,0,0.183790577,0,0,0,0,0,0,0
