Metabolite,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat,C_SD_exp (extracellular),C_SD_stat (extracellular)
Unknown 036,304863.6667,180942.0333,1877886.867,1330034.633,903130.3333,1720149.7,2766353.133,966205.8333,468773.4,110842.5667,131267.1,,
Unknown 037,2557397.667,1930684,2891207.8,4225525.1,4310752.933,5881871.2,1841721.333,3026914.767,769196.2667,628920,1493087.7,,
Unknown 038,2885626,2106515.333,2266262,3708026.633,4706351.333,5851769.567,1923543.733,3791867.8,1744117.333,487824.2333,659836.2333,,
Unknown 039,376581.6667,992361.9,722018.5333,1511938.833,1236018.667,1374429.933,797541.1,2175478.233,403206.0667,196815,245018.3333,,
Unknown 040,87194.53333,161961.0667,80700.66667,180173.4333,144116.7333,218702.8,215477.8667,116764.1,169672.4333,125147.2333,133658.9667,,
Unknown 041,953410.8,1893482.067,1358496.4,890980.7667,1023741.433,843072,1938772.567,503081.6333,1794377.833,135369.3667,301806.5,,
Unknown 042,28829405.2,86104068.83,20339752.97,75059227,110074450.4,34465383.2,88983496.13,36787829.03,79240502.9,1651582.367,2303199.333,,
Unknown 043,0,0,0,0,0,0,0,0,0,187964.7,482469.8,,
Unknown 044,720208.2,443307.8333,616097.4,497960.8,301797.8667,1006495,377932.8,155796.1,192002.1333,302062.3333,211590.7333,,
Unknown 045,54220.73333,529571.3667,145071.5667,387142.7667,453508,162227,1450731.633,1326640.533,988898.4,90012.2,45156.96667,,
Unknown 046,1763012.6,1983083.533,1472809.433,1733041.967,2240358.367,1309370.633,1438435.167,1296872.667,1561936,853624.1333,1351129.267,,
Unknown 047,1055089.4,1126636.367,963674.9333,1643163.8,1462559.867,936269.9333,1237181.133,946498.4667,1184829.367,994113.6,1555909.1,,
Unknown 048,8535693.2,65095407.47,6542918.833,83911220.23,108867891.2,26843119.47,54837941.7,16066593.47,32757074.9,29363.3,54491.86667,,
Unknown 049,241351.5667,252758.1667,116160.8,537705.0333,731965.4333,248809.2667,406350.1,97612.73333,134315.8333,101747.2,141959.2667,,
Unknown 050,294492.2667,224473.7,207724.4667,747570.6,1439718.233,333913.8667,894228.8333,1049520.1,533896.8667,132712.9667,189181.1333,,
Unknown 051,346117.9333,367062.6667,206456.9667,1825375.5,1176463.567,2421945.133,688181.4333,386189.6,439610.9667,524458.8333,1057522.233,,
Unknown 052,1989481.067,2028442.833,899971.8667,463950.9,411982.5333,919018,3071517.233,1032453.133,2208286.733,2725875.933,3088313.333,,
Unknown 053,1682461.467,1950313,1125407.733,3813339.267,3375879.467,2602831.167,2908570.833,2119046.567,2494713.333,2220809.933,2351205,,
Unknown 054,75921.43333,135261.6,103431.6667,174125.4,131006.6,195183.7667,111771.7,185943.7,101614.7,222316,553667.1333,,
Unknown 055,644497.5333,843997.1333,587748.8,990730.1333,1240844,370799.3,479332.6333,672180.1667,653466.5333,581969,1038378.133,,
Unknown 056,957372.5,1168901.933,1195804.967,1129977.667,1061384.933,1131345.467,1346544.467,1169172.533,1083072.1,1446662.133,1782421.7,,
Unknown 057,555970.6667,603636.2667,1236726.467,1819562,847245.3667,679602.2333,613326.7667,829202.0333,604929.9667,1609978.4,4730476.3,,
Unknown 058,308311.1,2705057.5,183061.6333,1929889.533,1638659.767,1873178.267,975984.3667,1782697.1,604157.5667,543624.4667,613833.6667,,
Unknown 059,196588.7333,357775.8,231011.3667,691557.5,1041707.267,253852.8,623715.8,511315.3,773648,202705.8667,330017.5333,,
Unknown 060,0,0,0,0,0,663634.3333,1336089.6,0,0,0,0,,
Unknown 061,0,0,470980.2333,1228732.733,665244.9667,0,0,0,0,0,0,,
Unknown 062,250367.5333,2648359.3,223449.9667,5141304.433,6753712.5,744511.1333,1529445.133,467425.9,935221.3667,4517.733333,89570.4,,
